,Link,Title,Price,Details,Rating,TItle
84,https://www.airbnb.co.in/rooms/630730291575194376?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹12,260 per night",1 bed,New,Apartment in Honolulu
85,https://www.airbnb.co.in/rooms/35679350?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹13,937 per night",3 beds,4.61,Apartment in Honolulu
86,https://www.airbnb.co.in/rooms/17256082?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹12,235 per night",2 beds,4.76,Apartment in Honolulu
87,https://www.airbnb.co.in/rooms/43237453?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹16,841 per night",3 beds,4.34,Hotel room in Honolulu
88,https://www.airbnb.co.in/rooms/39221599?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹16,219 per night",1 double bed,New,Hotel room in Honolulu
89,https://www.airbnb.co.in/rooms/6317193?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹18,277 per night",2 beds,4.93,Apartment in Honolulu
90,https://www.airbnb.co.in/rooms/46834094?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹18,003 per night",1 king bed,4.96,Flat in Honolulu
91,https://www.airbnb.co.in/rooms/3204840?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹13,179 per night",2 beds,4.37,Apartment in Honolulu
92,https://www.airbnb.co.in/rooms/42051017?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹38,526 per night",2 beds,4.97,Resort in Kapolei
93,https://www.airbnb.co.in/rooms/49343058?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹11,798 per night",1 queen bed,4.61,Apartment in Honolulu
94,https://www.airbnb.co.in/rooms/46839098?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹12,957 per night",1 bed,4.92,Campervan/Motorhome in Aiea
95,https://www.airbnb.co.in/rooms/15677743?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹16,199 per night",2 beds,4.62,Apartment in Honolulu
96,https://www.airbnb.co.in/rooms/42595738?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹11,211 per night, originally ₹15,323",1 queen bed,4.85,Apartment in Honolulu
97,https://www.airbnb.co.in/rooms/583263716088467661?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹27,427 per night",2 beds,5.0,Apartment in Honolulu
98,https://www.airbnb.co.in/rooms/49712614?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹27,031 per night, originally ₹31,320",1 bed,4.76,Resort in Honolulu
99,https://www.airbnb.co.in/rooms/49353533?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹14,437 per night",1 king bed,4.6,Apartment in Honolulu
100,https://www.airbnb.co.in/rooms/643428511073319825?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹15,556 per night",2 beds,New,Apartment in Honolulu
101,https://www.airbnb.co.in/rooms/50897977?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=fccfcea9-0c4b-4493-9198-1567bdb85638,,"₹12,512 per night",1 king bed,4.29,Hotel room in Honolulu
102,https://www.airbnb.co.in/rooms/32472609?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=fccfcea9-0c4b-4493-9198-1567bdb85638,,"₹27,399 per night",1 king bed,New,Hotel room in Honolulu
103,https://www.airbnb.co.in/rooms/49122456?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=fccfcea9-0c4b-4493-9198-1567bdb85638,,"₹19,852 per night, originally ₹27,820",2 beds,4.88,Apartment in Honolulu
